"[['p value', '0.0808'], 2]","[['p value', '0.0195'], 3]","[['p value', '0.216'], 2]","[['p value', '0.0745'], 3]","[['p value', '0.823'], 2]","[['p value', '0.936'], 3]"
"[['p value', '0.000748'], 2]","[['p value', '8.36e-08'], 7]","[['p value', '0.085'], 2]","[['p value', '0.0039'], 7]","[['p value', '0.894'], 2]","[['p value', '0.0808'], 7]"
"[['p value', '0.583'], 2]","[['p value', '1.18e-16'], 6]","[['p value', '0.417'], 2]","[['p value', '1.19e-05'], 7]","[['p value', '0.085'], 2]","[['p value', '0.00117'], 7]"
"[['p value', '0.973'], 6]","[['p value', '3.47e-10'], 9]","[['p value', '0.92'], 6]","[['p value', '0.0045'], 8]","[['p value', '0.000666'], 6]","[['p value', '0.382'], 9]"
"[['p value', '0.0757'], 4]","[['p value', '1.19e-06'], 2]","[['p value', '0.436'], 3]","[['p value', '0.00715'], 2]","[['p value', '0.424'], 4]","[['p value', '0.233'], 2]"
"[['p value', '0.841'], 4]","[['p value', '1.66e-14'], 15]","[['p value', '0.727'], 3]","[['p value', '4.56e-11'], 13]","[['p value', '0.246'], 4]","[['p value', '0.551'], 14]"
"[['p value', '0.137'], 3]","[['p value', '6.15e-13'], 6]","[['p value', '0.0721'], 3]","[['p value', '0.00028'], 6]","[['p value', '0.777'], 3]","[['p value', '0.197'], 6]"
"[['p value', '0.129'], 5]","[['p value', '2.45e-10'], 7]","[['p value', '0.172'], 5]","[['p value', '0.0472'], 7]","[['p value', '0.886'], 5]","[['p value', '0.000179'], 7]"
"[['p value', '0.983'], 10]","[['p value', '3.35e-09'], 6]","[['p value', '0.995'], 9]","[['p value', '3.13e-07'], 6]","[['p value', '0.113'], 10]","[['p value', '0.00347'], 6]"
"[['p value', '0.377'], 5]","[['p value', '5.51e-15'], 12]","[['p value', '0.457'], 5]","[['p value', '1.91e-06'], 12]","[['p value', '0.465'], 5]","[['p value', '0.0741'], 11]"
"[['p value', '0.729'], 4]","[['p value', '2.96e-06'], 5]","[['p value', '0.777'], 2]","[['p value', '0.0163'], 4]","[['p value', '0.386'], 4]","[['p value', '0.0232'], 4]"
"[['p value', '0.949'], 3]","[['p value', '1.08e-17'], 6]","[['p value', '0.953'], 3]","[['p value', '0.022'], 4]","[['p value', '0.109'], 3]","[['p value', '0.658'], 6]"
"[['p value', '0.159'], 2]","[['p value', '4.91e-14'], 16]","[['p value', '0.159'], 2]","[['p value', '1.35e-07'], 16]","[['p value', '6.21e-05'], 2]","[['p value', '0.00514'], 16]"
"[['p value', '0.0214'], 7]","[['p value', '7.09e-20'], 5]","[['p value', '0.0197'], 7]","[['p value', '5.2e-12'], 5]","[['p value', '0.5'], 7]","[['p value', '0.18'], 5]"
"[['p value', '0.0515'], 10]","[['p value', '0.000289'], 4]","[['p value', '0.156'], 8]","[['p value', '0.119'], 4]","[['p value', '0.408'], 10]","[['p value', '0.58'], 4]"
"[['p value', '0.0169'], 19]","[['p value', '0.000572'], 8]","[['p value', '0.0316'], 19]","[['p value', '0.0323'], 8]","[['p value', '0.0536'], 19]","[['p value', '0.82'], 8]"
"[['p value', '0.906'], 7]","[['p value', '0.00285'], 8]","[['p value', '0.97'], 6]","[['p value', '0.0338'], 8]","[['p value', '0.244'], 7]","[['p value', '0.475'], 8]"
"[['p value', '0.948'], 12]","[['p value', '0.000196'], 3]","[['p value', '0.943'], 9]","[['p value', '0.00526'], 3]","[['p value', '0.996'], 12]","[['p value', '0.823'], 3]"
